acousticness;analysis_url;danceability;duration_ms;energy;id;instrumentalness;music_key;liveness;loudness;mode;name;speechiness;tempo;time_signature;track_href;type;uri;valence
0.00878;https://api.spotify.com/v1/audio-analysis/36PQh1G6h7n9VWB799fXpI;0.596;260387;0.894;36PQh1G6h7n9VWB799fXpI;0.00659;0;0.104;-5.407;1;Darling;0.0265;132.994;5;https://api.spotify.com/v1/tracks/36PQh1G6h7n9VWB799fXpI;audio_features;spotify:track:36PQh1G6h7n9VWB799fXpI;0.572
0.843;https://api.spotify.com/v1/audio-analysis/36seMHoyXmLUNxcwzwjdF7;0.55;116667;0.271;36seMHoyXmLUNxcwzwjdF7;0.00000321;2;0.107;-8.451;1;"Please Notice";0.0297;111.344;4;https://api.spotify.com/v1/tracks/36seMHoyXmLUNxcwzwjdF7;audio_features;spotify:track:36seMHoyXmLUNxcwzwjdF7;0.198
0.0226;https://api.spotify.com/v1/audio-analysis/36UVZPoK8a1Oxh13cY8kOp;0.64;244000;0.884;36UVZPoK8a1Oxh13cY8kOp;0;6;0.187;-2.609;1;"I Don't Wanna Be In Love (Dance Floor Anthem)";0.0428;124.968;4;https://api.spotify.com/v1/tracks/36UVZPoK8a1Oxh13cY8kOp;audio_features;spotify:track:36UVZPoK8a1Oxh13cY8kOp;0.573
0.223;https://api.spotify.com/v1/audio-analysis/36xxq7VDZZsGwARsn6Clo7;0.714;276347;0.62;36xxq7VDZZsGwARsn6Clo7;0;11;0.109;-5.045;1;"Living Single";0.296;80.109;4;https://api.spotify.com/v1/tracks/36xxq7VDZZsGwARsn6Clo7;audio_features;spotify:track:36xxq7VDZZsGwARsn6Clo7;0.73
0.444;https://api.spotify.com/v1/audio-analysis/36YutBq4lokWfRAFXJ6qrF;0.529;207462;0.322;36YutBq4lokWfRAFXJ6qrF;0.0000134;9;0.305;-9.419;0;"Another Lifetime";0.0436;59.521;4;https://api.spotify.com/v1/tracks/36YutBq4lokWfRAFXJ6qrF;audio_features;spotify:track:36YutBq4lokWfRAFXJ6qrF;0.319
0.588;https://api.spotify.com/v1/audio-analysis/371H6HjS4SXGbQ9IVfFUIL;0.681;227655;0.333;371H6HjS4SXGbQ9IVfFUIL;0;9;0.086;-8.582;1;Lens;0.0974;118.05;4;https://api.spotify.com/v1/tracks/371H6HjS4SXGbQ9IVfFUIL;audio_features;spotify:track:371H6HjS4SXGbQ9IVfFUIL;0.564
0.0258;https://api.spotify.com/v1/audio-analysis/371Tb0eNfpjpSqggjcLv8c;0.313;224200;0.713;371Tb0eNfpjpSqggjcLv8c;0;9;0.135;-4.489;1;Therapy;0.0327;169.871;4;https://api.spotify.com/v1/tracks/371Tb0eNfpjpSqggjcLv8c;audio_features;spotify:track:371Tb0eNfpjpSqggjcLv8c;0.196
0.118;https://api.spotify.com/v1/audio-analysis/37cp0jpho5cwFynoUd2sfI;0.553;218293;0.894;37cp0jpho5cwFynoUd2sfI;0;9;0.0873;-3.477;0;Anxiety;0.15;94.374;4;https://api.spotify.com/v1/tracks/37cp0jpho5cwFynoUd2sfI;audio_features;spotify:track:37cp0jpho5cwFynoUd2sfI;0.516
0.339;https://api.spotify.com/v1/audio-analysis/37dVuP5d1BtVDagETMqP3k;0.66;189309;0.72;37dVuP5d1BtVDagETMqP3k;0;1;0.118;-5.763;1;IMPATIENT;0.0737;142.07;4;https://api.spotify.com/v1/tracks/37dVuP5d1BtVDagETMqP3k;audio_features;spotify:track:37dVuP5d1BtVDagETMqP3k;0.69
0.788;https://api.spotify.com/v1/audio-analysis/37HhnXqIRFSSJXWsysl6B7;0.757;181623;0.393;37HhnXqIRFSSJXWsysl6B7;0.000986;5;0.0501;-7.942;1;Ride;0.212;77.985;4;https://api.spotify.com/v1/tracks/37HhnXqIRFSSJXWsysl6B7;audio_features;spotify:track:37HhnXqIRFSSJXWsysl6B7;0.715
0.0243;https://api.spotify.com/v1/audio-analysis/37Q5anxoGWYdRsyeXkkNoI;0.64;246520;0.852;37Q5anxoGWYdRsyeXkkNoI;0.00000182;1;0.0497;-8.119;0;"Heaven Is A Place On Earth";0.0345;122.902;4;https://api.spotify.com/v1/tracks/37Q5anxoGWYdRsyeXkkNoI;audio_features;spotify:track:37Q5anxoGWYdRsyeXkkNoI;0.793
0.601;https://api.spotify.com/v1/audio-analysis/388jD8ko9cvFM9cd9TYDrl;0.535;343213;0.448;388jD8ko9cvFM9cd9TYDrl;0;1;0.376;-8.919;0;ROS;0.175;120.554;4;https://api.spotify.com/v1/tracks/388jD8ko9cvFM9cd9TYDrl;audio_features;spotify:track:388jD8ko9cvFM9cd9TYDrl;0.284
0.0144;https://api.spotify.com/v1/audio-analysis/38O355TmeaSAqpDXkE84Iu;0.607;207129;0.783;38O355TmeaSAqpDXkE84Iu;0.00000719;0;0.176;-6.295;1;"I Will Follow You";0.0272;94.995;3;https://api.spotify.com/v1/tracks/38O355TmeaSAqpDXkE84Iu;audio_features;spotify:track:38O355TmeaSAqpDXkE84Iu;0.42
0.0186;https://api.spotify.com/v1/audio-analysis/38X7LavheHbSg0UwjRUNcf;0.615;169600;0.785;38X7LavheHbSg0UwjRUNcf;0.0000119;1;0.166;-4.88;1;"SOS (feat. Travis Barker)";0.0632;150.03;4;https://api.spotify.com/v1/tracks/38X7LavheHbSg0UwjRUNcf;audio_features;spotify:track:38X7LavheHbSg0UwjRUNcf;0.369
0.0255;https://api.spotify.com/v1/audio-analysis/395NMfWS5ZLsAIwUilBOSF;0.509;230987;0.598;395NMfWS5ZLsAIwUilBOSF;0.175;3;0.0936;-7.928;1;"Harbour Lights";0.035;134.102;4;https://api.spotify.com/v1/tracks/395NMfWS5ZLsAIwUilBOSF;audio_features;spotify:track:395NMfWS5ZLsAIwUilBOSF;0.194
0.671;https://api.spotify.com/v1/audio-analysis/3964tSiYrz5sSnZshvv2cu;0.678;146440;0.385;3964tSiYrz5sSnZshvv2cu;0.0182;7;0.121;-12.973;1;"Oh Lady Be Good";0.0385;107.779;4;https://api.spotify.com/v1/tracks/3964tSiYrz5sSnZshvv2cu;audio_features;spotify:track:3964tSiYrz5sSnZshvv2cu;0.775
0.764;https://api.spotify.com/v1/audio-analysis/39chWt35fC3T8I8qxAiYuB;0.751;187125;0.476;39chWt35fC3T8I8qxAiYuB;0;11;0.418;-7.807;1;"You, Dear";0.303;71.019;4;https://api.spotify.com/v1/tracks/39chWt35fC3T8I8qxAiYuB;audio_features;spotify:track:39chWt35fC3T8I8qxAiYuB;0.394
